number,name,form,sprite,generation,lgplge,swsh,arceus,bdsp,sv
1. Generation,,,,,,,,,
0001,Bisasam,1,0001_1.png,1,TRUE,TRUE,FALSE,TRUE,FALSE
0002,Bisaknosp,1,0002_1.png,1,TRUE,TRUE,FALSE,TRUE,FALSE
0003,Bisaflor,1,0003_1.png,1,TRUE,TRUE,FALSE,TRUE,FALSE
0004,Glumanda,1,0004_1.png,1,TRUE,TRUE,FALSE,TRUE,TRUE
0005,Glutexo,1,0005_1.png,1,TRUE,TRUE,FALSE,TRUE,TRUE
0006,Glurak,1,0006_1.png,1,TRUE,TRUE,FALSE,TRUE,TRUE
0007,Schiggy,1,0007_1.png,1,TRUE,TRUE,FALSE,TRUE,FALSE
0008,Schillok,1,0008_1.png,1,TRUE,TRUE,FALSE,TRUE,FALSE
0009,Turtok,1,0009_1.png,1,TRUE,TRUE,FALSE,TRUE,FALSE
2. Generation,,,,,,,,,
0152,Endivie,1,0152_1.png,2,FALSE,FALSE,FALSE,TRUE,TRUE
0153,Lorblatt,1,0153_1.png,2,FALSE,FALSE,FALSE,TRUE,TRUE
0154,Meganie,1,0154_1.png,2,FALSE,FALSE,FALSE,TRUE,TRUE
0155,Feurigel,1,0155_1.png,2,FALSE,FALSE,TRUE,TRUE,TRUE
0156,Igelavar,1,0156_1.png,2,FALSE,FALSE,TRUE,TRUE,TRUE
0157,Tornupto,1,0157_1.png,2,FALSE,FALSE,TRUE,TRUE,TRUE
0157,Tornupto,2,0157_2.png,2,FALSE,FALSE,TRUE,TRUE,TRUE
0158,Karnimani,1,0158_1.png,2,FALSE,FALSE,FALSE,TRUE,TRUE
0159,Tyracroc,1,0159_1.png,2,FALSE,FALSE,FALSE,TRUE,TRUE
0160,Impergator,1,0160_1.png,2,FALSE,FALSE,FALSE,TRUE,TRUE
